datetime,actual,xgboost,arima,ensemble_70_30
2025-05-19 20:00:00,39031.2683162149,39044.977,39129.9296862111,39070.46132773833
2025-05-19 21:00:00,38961.4870150416,39049.027,39128.52547399954,39072.87600157486
2025-05-19 22:00:00,39173.1678212927,39046.086,39129.92841124788,39071.23828899936
2025-05-19 23:00:00,39162.1295707814,39045.426,39128.52674780516,39070.354899341546
2025-05-20 00:00:00,38941.3600805143,39052.508,39129.927138598825,39075.734000954646
2025-05-20 01:00:00,39011.6414679148,39046.48,39128.52801929871,39071.09356203961
2025-05-20 02:00:00,39071.5791913544,39040.742,39129.92586825974,39067.49729172792
2025-05-20 03:00:00,39025.0119053254,39039.594,39128.52928848439,39066.27363029531
2025-05-20 04:00:00,39109.0143661042,39034.06,39129.92460022644,39062.81722381793
2025-05-20 05:00:00,39173.2932069394,39037.113,39128.53055536638,39064.53768223491
2025-05-20 06:00:00,39220.3092043686,39039.46,39129.92333449472,39066.600047223415
2025-05-20 07:00:00,39085.5142247977,39037.113,39128.53181994886,39064.53806160966
2025-05-20 08:00:00,39123.1098904014,39039.24,39129.92207106042,39066.44341819313
2025-05-20 09:00:00,38911.325100058,39046.89,39128.53308223602,39071.38219029581
2025-05-20 10:00:00,38969.1690080281,39050.312,39129.920809919364,39074.19499297581
2025-05-20 11:00:00,39031.0251041225,39058.508,39128.534342232015,39079.515380794604
2025-05-20 12:00:00,39086.5127744509,39055.844,39129.91955106739,39078.065709070215
2025-05-20 13:00:00,38956.2581700412,39062.523,39128.53559994101,39082.3263049823
2025-05-20 14:00:00,39058.7437928069,39058.95,39129.91829450034,39080.2391602251
2025-05-20 15:00:00,39126.4053275654,39054.773,39128.53685536714,39076.90285348514
2025-05-20 16:00:00,39118.9425791495,39048.312,39129.91704021407,39072.79347143922
2025-05-20 17:00:00,38943.2054548661,39041.438,39128.53810851458,39067.56729192937
2025-05-20 18:00:00,39008.3142682362,39051.805,39129.915788204446,39075.238408336336
2025-05-20 19:00:00,38842.1583688649,39046.227,39128.53935938743,39070.91922969123
2025-05-20 20:00:00,39158.8717631814,39050.53,39129.914538467325,39074.3454552902
2025-05-20 21:00:00,39094.4403790561,39055.69,39128.540607989846,39077.546557396956
2025-05-20 22:00:00,39004.0252191722,39056.14,39129.913290998586,39078.27281542458
2025-05-20 23:00:00,39018.3247448069,39057.984,39128.54185432593,39079.15044692278
2025-05-21 00:00:00,39151.6023777412,39051.164,39129.91204579411,39074.788066863235
2025-05-21 01:00:00,39252.4028950874,39045.316,39128.54309839981,39070.28363264494
2025-05-21 02:00:00,39135.108783599906,39038.57,39129.910802849794,39065.97128772994
2025-05-21 03:00:00,38974.4552058658,39037.742,39128.54434021558,39064.98322393967
2025-05-21 04:00:00,39228.4016411669,39030.81,39129.90956216153,39060.53927489846
